1|1|3,76923076923077|1|1,33333333333333|1|1|1,06666666666667|5|1|1,808|1|+
5|1|3,46153846153846|1,5|1,81066666666667|1|1|1,4|5|1|1,172|1,224|+
5|1|3,46153846153846|1,5|1,4|1|5|1|5|1|2,12|1,3296|+
1|1|3,76923076923077|1|2|1|1|1,33333333333333|1|1|1,4|1,0012|+
1|1|3,76923076923077|1|1,456|1|5|1|5|5|1,48|1|+
1|1|2,84615384615385|1|1,66666666666667|1|5|1|1|1|2,44|1|+
1|1|3,15384615384615|1,5|2,73333333333333|1|5|1|1|1|1,656|1|+
5|1|1,61538461538462|1|1,01066666666667|1|5|1|5|1|1,32|1,5396|+
1|3|2,53846153846154|1,5|2,056|1|5|1|5|1|1,72|1,1256|+
1|3|3,76923076923077|1|1,844|1|5|1|1|1|1,208|1,5768|+
1|1|1|1,5|1,57733333333333|5|5|1|1|1|1,512|1|+
1|1|1|1,5|2,156|1|5|1|5|1|2,04|1,08|+
5|1|2,53846153846154|1|1,26666666666667|1|5|1|1|1|1|1|+
1|1|2,53846153846154|1|1,01066666666667|5|5|1|5|1|1|2,076|+
5|1|3,46153846153846|1|2,33333333333333|1|1|1,46666666666667|1|1|1|1|+
1|3|2,53846153846154|1|1,06666666666667|1|1|1,66666666666667|1|1|2,28|1|+
1|1|2,84615384615385|1|1,256|1|1|1,2|1|1|2,584|1|+
5|1|3,46153846153846|1|1,84533333333333|1|1|1,66666666666667|5|1|1,48|1,098|+
1|1|1,30769230769231|1,5|1,17733333333333|1|5|1|1|1|1|1|+
5|1|1,61538461538462|1,5|1,2|1|1|1,46666666666667|5|1|1,384|1|+
1|1|1|1|1,66666666666667|1|1|2,13333333333333|5|1|1,8|1,4832|+
1|1|1|1|1,22266666666667|1|5|1|5|5|2,2|1|+
5|1|1|1|3,1|1|1|1,4|1|1|1|1,504|+
5|1|4,07692307692308|1,5|1,82266666666667|1|1|1,06666666666667|5|1|1,48|1,0044|+
5|1|3,46153846153846|1|1,13333333333333|1|1|1,2|1|1|1,58|1|+
5|1|1|1,5|1,4|1|1|1,13333333333333|5|1|1,4|1|+
5|1|1,92307692307692|2|2,37733333333333|1|1|1,6|1|1|1|1|+
1|1|1,30769230769231|2|5|1|1|2,13333333333333|1|1|1|1|+
1|1|4,38461538461538|1,5|2,86666666666667|1|1|1,2|5|1|1|1|+
1|1|3,76923076923077|1|2,33333333333333|1|1|1,4|1|1|3|5|+
1|1|4,69230769230769|1|2,344|1|1|1,33333333333333|1|1|1,672|1|+
1|1|4,07692307692308|1,5|3,12266666666667|1|1|1,53333333333333|5|1|1|1|+
1|1|1,92307692307692|2|3,02266666666667|1|1|2|1|1|1|3|+
5|1|4,38461538461538|1|2,33333333333333|1|5|1|1|1|1|2,6|+
5|1|3,46153846153846|1|1,11066666666667|1|1|1,33333333333333|1|1|1|1,224|+
1|1|3,76923076923077|1|1,53333333333333|1|1|1,73333333333333|1|1|2,736|1,014|+
1|1|1,61538461538462|1,5|1,48933333333333|1|1|1,8|1|1|3,332|1,2852|+
5|1|4,07692307692308|1,5|1,13333333333333|1|1|1,13333333333333|1|1|2,2|1,2204|+
1|3|1,61538461538462|1|1,06666666666667|1|1|1,13333333333333|5|1|2,04|1,2|+
1|1|5|4,5|4,844|1|1|1,73333333333333|1|1|1,12|1,12|+
1|1|1|1|2,2|1|1|1,8|1|1|1|1,0884|+
1|1|1|1,5|2,42266666666667|1|1|1,73333333333333|5|1|1|1,9132|+
1|1|3,76923076923077|1,5|1,2|1|1|1,06666666666667|5|1|1,96|1,04|+
1|1|3,76923076923077|1|3,3|1|1|1,4|1|1|1,28|1|+
1|3|1|1|1|1|1|3,66666666666667|5|1|1|1,006|+
1|1|1|1,5|1,7|1|1|1,73333333333333|1|1|1|1,1136|+
5|3|3,46153846153846|1,5|1,03333333333333|1|1|2,53333333333333|1|1|2,82|1,4944|+
1|1|1,61538461538462|1,5|2,61066666666667|1|1|1,2|5|1|2,244|1,12|+
1|1|1,92307692307692|2|1,93333333333333|5|5|1|5|1|1,864|1|+
1|1|1|1|1,044|5|5|1|5|1|1,4|1|+
5|1|1|1,5|1,23333333333333|1|5|1|1|1|2,964|1|+
1|1|3,46153846153846|1|1,46666666666667|1|5|1|1|1|2,12|1|+
1|1|3,76923076923077|1|1,01066666666667|1|5|1|1|1|2,6|3,32|+
1|1|3,76923076923077|1|1|1|5|1|1|1|1,956|1,08|+
1|1|1,61538461538462|1,5|2,97733333333333|1|5|1|1|1|1|1|+
1|3|3,76923076923077|1|1,22266666666667|1|5|1|1|1|1,64|1,12|+
1|1|1,61538461538462|1|1,02266666666667|1|5|1|5|1|1|1|+
1|1|1,92307692307692|1,5|2,33333333333333|1|5|1|1|1|2,28|1|+
1|1|4,07692307692308|1,5|2,53333333333333|5|5|1|1|5|3,844|1|+
1|1|3,46153846153846|1,5|2,6|1|1|1,73333333333333|5|1|1,32|1|+
1|1|2,84615384615385|1|1,33333333333333|1|1|1,26666666666667|1|1|1,8|1|+
1|1|1,30769230769231|1|1,8|1|1|1,6|5|1|2|1,292|+
5|3|3,46153846153846|1|1,4|1|1|1,13333333333333|1|1|1,32|1,16|+
5|1|3,46153846153846|1|1,42266666666667|1|1|1,06666666666667|5|1|1|1|+
1|1|1,61538461538462|1|2,144|1|1|1,06666666666667|1|1|1,48|1|+
1|1|1,61538461538462|1|1,41066666666667|1|1|1,06666666666667|1|1|3,08|1|+
5|1|1|1|1,53333333333333|1|1|1,73333333333333|5|1|1|1,1824|+
1|1|2,84615384615385|1|1,06666666666667|1|1|1,2|5|1|2,04|1|+
1|1|3,76923076923077|1,5|1,38933333333333|1|1|1,46666666666667|5|1|1,32|2,1816|+
1|1|4,07692307692308|1,5|1,43333333333333|1|1|1,06666666666667|1|1|3,06|1,2|+
1|1|4,38461538461538|2|1,42266666666667|1|5|1|1|5|2,68|1|-
1|1|1,30769230769231|2|4,33333333333333|1|5|1|1|1|1|1|-
5|1|1,61538461538462|1|4,6|1|5|1|1|1|4,92|1|-
1|1|2,84615384615385|1|3,86666666666667|1|5|1|5|5|2,6|1|-
1|3|1|1|1,43333333333333|5|5|1|5|1|1,64|1,0008|-
1|1|3,46153846153846|1|1,1|1|1|1,06666666666667|5|1|1,64|1|-
1|1|4,69230769230769|1|1,03333333333333|1|5|1|1|1|2,772|1|-
5|3|4,69230769230769|1|1,156|1|5|1|1|1|1,64|1|-
1|3|2,53846153846154|1|1,66666666666667|1|1|1,06666666666667|5|1|1,72|1,008|-
1|1|1|1|1,06666666666667|1|5|1|5|1|1,56|1|-
1|1|5|4,5|1|1|1|1,06666666666667|5|1|1,376|1|-
5|1|2,84615384615385|1|1,53333333333333|1|5|1|5|5|2,472|1|-
1|1|2,84615384615385|1|1,06666666666667|1|5|1|5|5|2,152|1|-
5|1|1,30769230769231|1|1,8|1|5|1|1|1|2,2|1|-
1|1|4,69230769230769|1|1,12133333333333|1|5|1|1|1|1,8|1|-
1|1|1|2|2,33333333333333|1|5|1|1|5|2,12|1|-
1|1|1,30769230769231|1|1,23333333333333|1|5|1|1|5|4,712|1|-
1|3|4,69230769230769|1|2,06666666666667|1|5|1|5|1|1,752|1|-
1|1|4,69230769230769|1|1,26666666666667|1|5|1|1|1|1,96|1|-
5|1|2,23076923076923|2,5|1|1|5|1|1|1|1,4|1,0108|-
1|3|1|1,5|2,33333333333333|1|5|1|5|1|1,448|1|-
1|1|1|1|1,13333333333333|1|5|1|5|1|1,48|1|-
1|3|4,69230769230769|1|3,26666666666667|1|5|1|5|1|1|1|-
1|3|1|1,5|3,52266666666667|1|5|1|1|1|1,8|1,04|-
1|3|1|1|1,4|1|5|1|1|1|1|1,09|-
5|1|1,92307692307692|2|1,13333333333333|1|5|1|1|1|1,684|1|-
1|3|4,69230769230769|1|1,03333333333333|1|5|1|5|1|1,72|1,0004|-
1|1|1|2|1,22266666666667|1|5|1|1|5|2,28|1|-
5|3|3,46153846153846|1|1,8|1|5|1|1|1|2,072|1|-
5|1|3,46153846153846|1|1,26666666666667|1|1|1,13333333333333|1|1|1,668|1,2|-
1|3|1|2|1,06666666666667|1|5|1|1|1|1,656|1,16|-
1|3|1|1|2,06666666666667|1|5|1|5|1|1,32|1|-
1|1|3,46153846153846|1|1,1|1|1|1,13333333333333|5|1|1|1,0152|-
1|1|2,53846153846154|1|1,6|1|1|1,13333333333333|1|1|1,48|1,002|-
1|3|1,92307692307692|1,5|2,53333333333333|1|1|1,13333333333333|1|1|1,3|1|-
1|1|4,38461538461538|3,5|1|1|1|2,33333333333333|5|1|1,608|1,052|-
1|1|2,53846153846154|1|1,13333333333333|1|5|1|5|5|2,12|1|-
5|3|4,69230769230769|1|2,2|1|5|1|5|1|1,48|1|-
1|3|4,07692307692308|1,5|3,66666666666667|1|5|1|1|1|1,704|1|-
5|1|1|1|1,212|1|1|1,33333333333333|1|1|1,56|1,002|-
1|1|3,76923076923077|1|1,93333333333333|1|1|1,2|1|1|2,316|1|-
