1,55|2,5|1,13333333333333|1|Iris-setosa
1,45|2|1,13333333333333|1|Iris-setosa
1,35|2,2|1,1|1|Iris-setosa
1,3|2,1|1,16666666666667|1|Iris-setosa
1,5|2,6|1,13333333333333|1|Iris-setosa
1,7|2,9|1,23333333333333|1|Iris-setosa
1,3|2,4|1,13333333333333|1|Iris-setosa
1,5|2,4|1,16666666666667|1|Iris-setosa
1,2|1,9|1,13333333333333|1|Iris-setosa
1,45|2,1|1,16666666666667|1|Iris-setosa
1,7|2,7|1,16666666666667|1|Iris-setosa
1,4|2,4|1,2|1|Iris-setosa
1,4|2|1,13333333333333|1|Iris-setosa
1,15|2|1,03333333333333|1|Iris-setosa
1,9|3|1,06666666666667|1|Iris-setosa
1,85|1|1,16666666666667|1|Iris-setosa
1,7|2,9|1,1|1|Iris-setosa
1,55|2,5|1,13333333333333|1|Iris-setosa
1,85|2,8|1,23333333333333|1|Iris-setosa
1,55|2,8|1,16666666666667|1|Iris-setosa
1,7|2,4|1,23333333333333|1|Iris-setosa
1,55|2,7|1,16666666666667|1|Iris-setosa
1,3|2,6|1|1|Iris-setosa
1,55|2,3|1,23333333333333|1|Iris-setosa
1,4|2,4|1,3|1|Iris-setosa
1,5|2|1,2|1|Iris-setosa
1,5|2,4|1,2|1|Iris-setosa
1,6|2,5|1,16666666666667|1|Iris-setosa
1,6|2,4|1,13333333333333|1|Iris-setosa
1,35|2,2|1,2|1|Iris-setosa
1,4|2,1|1,2|1|Iris-setosa
1,7|2,4|1,16666666666667|1|Iris-setosa
1,6|1|1,16666666666667|1|Iris-setosa
1,75|1|1,13333333333333|1|Iris-setosa
1,45|2,1|1,16666666666667|1|Iris-setosa
1,5|2,2|1,06666666666667|1|Iris-setosa
1,75|2,5|1,1|1|Iris-setosa
1,45|2,1|1,16666666666667|1|Iris-setosa
1,2|2|1,1|1|Iris-setosa
1,55|2,4|1,16666666666667|1|Iris-setosa
1,5|2,5|1,1|1|Iris-setosa
1,25|1,3|1,1|1|Iris-setosa
1,2|2,2|1,1|1|Iris-setosa
1,5|2,5|1,2|1|Iris-setosa
1,55|2,8|1,3|1|Iris-setosa
1,4|2|1,13333333333333|1|Iris-setosa
1,55|2,8|1,2|1|Iris-setosa
1,3|2,2|1,13333333333333|1|Iris-setosa
1,65|2,7|1,16666666666667|1|Iris-setosa
1,5|2,3|1,13333333333333|1|Iris-setosa
2,5|2,2|2,23333333333333|1,4|Iris-versicolor
2,2|2,2|2,16666666666667|1,5|Iris-versicolor
2,45|2,1|2,3|1,5|Iris-versicolor
