+|1,33333333333333|1,06666666666667|1,808|0|1|1|3,76923076923077|1|1|1|5|1
+|1,81066666666667|1,4|1,172|560|5|1|3,46153846153846|1,5|1|1|5|1
+|1,4|1|2,12|824|5|1|3,46153846153846|1,5|1|5|5|1
+|2|1,33333333333333|1,4|3|1|1|3,76923076923077|1|1|1|1|1
+|1,456|1|1,48|0|1|1|3,76923076923077|1|1|5|5|5
+|1,66666666666667|1|2,44|0|1|1|2,84615384615385|1|1|5|1|1
+|2,73333333333333|1|1,656|31285|1|1|3,15384615384615|1,5|1|5|1|1
+|1,01066666666667|1|1,32|1349|5|1|1,61538461538462|1|1|5|5|1
+|2,056|1|1,72|314|1|3|2,53846153846154|1,5|1|5|5|1
+|1,844|1|1,208|1442|1|3|3,76923076923077|1|1|5|1|1
+|1,57733333333333|1|1,512|0|1|1|1|1,5|5|5|1|1
+|2,156|1|2,04|200|1|1|1|1,5|1|5|5|1
+|1,26666666666667|1|1|0|5|1|2,53846153846154|1|1|5|1|1
+|1,01066666666667|1|1|2690|1|1|2,53846153846154|1|5|5|5|1
+|2,33333333333333|1,46666666666667|1|0|5|1|3,46153846153846|1|1|1|1|1
+|1,06666666666667|1,66666666666667|2,28|0|1|3|2,53846153846154|1|1|1|1|1
+|1,256|1,2|2,584|0|1|1|2,84615384615385|1|1|1|1|1
+|1,84533333333333|1,66666666666667|1,48|245|5|1|3,46153846153846|1|1|1|5|1
+|1,17733333333333|1|1|0|1|1|1,30769230769231|1,5|1|5|1|1
+|1,2|1,46666666666667|1,384|0|5|1|1,61538461538462|1,5|1|1|5|1
+|1,66666666666667|2,13333333333333|1,8|1208|1|1|1|1|1|1|5|1
+|1,22266666666667|1|2,2|0|1|1|1|1|1|5|5|5
+|3,1|1,4|1|1260|5|1|1|1|1|1|1|1
+|1,82266666666667|1,06666666666667|1,48|11|5|1|4,07692307692308|1,5|1|1|5|1
+|1,13333333333333|1,2|1,58|0|5|1|3,46153846153846|1|1|1|1|1
+|1,4|1,13333333333333|1,4|0|5|1|1|1,5|1|1|5|1
+|2,37733333333333|1,6|1|0|5|1|1,92307692307692|2|1|1|1|1
+|5|2,13333333333333|1|0|1|1|1,30769230769231|2|1|1|1|1
+|2,86666666666667|1,2|1|0|1|1|4,38461538461538|1,5|1|1|5|1
+|2,33333333333333|1,4|3|10000|1|1|3,76923076923077|1|1|1|1|1
+|2,344|1,33333333333333|1,672|0|1|1|4,69230769230769|1|1|1|1|1
+|3,12266666666667|1,53333333333333|1|0|1|1|4,07692307692308|1,5|1|1|5|1
+|3,02266666666667|2|1|5000|1|1|1,92307692307692|2|1|1|1|1
+|2,33333333333333|1|1|4000|5|1|4,38461538461538|1|1|5|1|1
+|1,11066666666667|1,33333333333333|1|560|5|1|3,46153846153846|1|1|1|1|1
+|1,53333333333333|1,73333333333333|2,736|35|1|1|3,76923076923077|1|1|1|1|1
+|1,48933333333333|1,8|3,332|713|1|1|1,61538461538462|1,5|1|1|1|1
+|1,13333333333333|1,13333333333333|2,2|551|5|1|4,07692307692308|1,5|1|1|1|1
+|1,06666666666667|1,13333333333333|2,04|500|1|3|1,61538461538462|1|1|1|5|1
+|4,844|1,73333333333333|1,12|300|1|1|5|4,5|1|1|1|1
+|2,2|1,8|1|221|1|1|1|1|1|1|1|1
+|2,42266666666667|1,73333333333333|1|2283|1|1|1|1,5|1|1|5|1
+|1,2|1,06666666666667|1,96|100|1|1|3,76923076923077|1,5|1|1|5|1
+|3,3|1,4|1,28|0|1|1|3,76923076923077|1|1|1|1|1
+|1|3,66666666666667|1|15|1|3|1|1|1|1|5|1
+|1,7|1,73333333333333|1|284|1|1|1|1,5|1|1|1|1
+|1,03333333333333|2,53333333333333|2,82|1236|5|3|3,46153846153846|1,5|1|1|1|1
+|2,61066666666667|1,2|2,244|300|1|1|1,61538461538462|1,5|1|1|5|1
+|1,93333333333333|1|1,864|0|1|1|1,92307692307692|2|5|5|5|1
+|1,044|1|1,4|0|1|1|1|1|5|5|5|1
+|1,23333333333333|1|2,964|0|5|1|1|1,5|1|5|1|1
+|1,46666666666667|1|2,12|0|1|1|3,46153846153846|1|1|5|1|1
+|1,01066666666667|1|2,6|5800|1|1|3,76923076923077|1|1|5|1|1
+|1|1|1,956|200|1|1|3,76923076923077|1|1|5|1|1
+|2,97733333333333|1|1|0|1|1|1,61538461538462|1,5|1|5|1|1
+|1,22266666666667|1|1,64|300|1|3|3,76923076923077|1|1|5|1|1
+|1,02266666666667|1|1|0|1|1|1,61538461538462|1|1|5|5|1
+|2,33333333333333|1|2,28|0|1|1|1,92307692307692|1,5|1|5|1|1
+|2,53333333333333|1|3,844|0|1|1|4,07692307692308|1,5|5|5|1|5
+|2,6|1,73333333333333|1,32|0|1|1|3,46153846153846|1,5|1|1|5|1
+|1,33333333333333|1,26666666666667|1,8|0|1|1|2,84615384615385|1|1|1|1|1
+|1,8|1,6|2|730|1|1|1,30769230769231|1|1|1|5|1
+|1,4|1,13333333333333|1,32|400|5|3|3,46153846153846|1|1|1|1|1
+|1,42266666666667|1,06666666666667|1|0|5|1|3,46153846153846|1|1|1|5|1
+|2,144|1,06666666666667|1,48|0|1|1|1,61538461538462|1|1|1|1|1
+|1,41066666666667|1,06666666666667|3,08|50000|1|1|1,61538461538462|1|1|1|1|1
